"id";"cod_produto";"nome";"marca";"preco_custo";"preco_venda";"data_entrada";"fornecedor";"quantidade";"lucro_porcentagem";"lucro_real"
14;"ly57720011";"TONER BROTHER  TN-3382S";"BROTHER";55;235;"17/03/2017";"TESTE";1;327.2727272727273;180.0
24;"2013103100216";"LNB CARONA 2X2";"PREMIUM BOX";68;135;"18/03/2017";"TESTE";1;98.52941176470588;67.0
37;"157950";"BATERIA P/ TELEFONE S/ FIO 3.6V";"RONTEK ";8.25;18;"18/03/2017";"TESTE";1;118.18181818181819;9.75
38;"1565775";"BATERIA P/ TELEFONE S/ FIO 2.4V";"RONTEK";7.95;18;"18/03/2017";"TESTE";3;126.41509433962266;10.05
39;"7898931946695";"BATERIA P/ TELEFONE S/ FIO 3.6V 450mAh MO-U130";"MOX";8.95;18;"18/03/2017";"TESTE";2;101.1173184357542;9.05
17;"7899903100374";"CABO VGA/VGA COM FILTRO MXT 10M";"MXT";75;127;"17/03/2017";"TESTE";1;69.33333333333334;52.0
51;"008562007635";"BATERIA 2025 LITIO";"SONY";2.5;5;"18/03/2017";"TESTE";0;100.0;2.5
31;"8712581544164";"BATERIA 9V ALCALINA";"PHILIPS";6.8;13;"  -  -    ";"TESTE";0;91.1764705882353;6.2
65;"4901780793747";"MEMORY CARD P/ PLAY 2";"SONY";12.00;25.00;"19/03/2017";"TESTE";0;108.33333333333333;13.0
74;"7892012060072";"TEE BIPOLAR";"MAX FERA";4.50;9.00;"19/03/2017";"TESTE";0;100.0;4.5
29;"7898941172367";"BATERIA RECARREGAVEL 9V";"BR";15.9;30.90;"18/03/2017";"TESTE";0;94.33962264150942;14.999999999999998
34;"7898563932547";"BATERIA P/ TELEFONE S/ FIO 3.6V 600mAh";"MOX";8.50;18.00;"01-08-2017";"TESTE";1;111.76470588235294;9.5
61;"BA20170005";"BATERIA ALCALINA  23A 12V";"SUNKING";2.50;5;"19/03/2017";"TESTE";0;100.0;2.5
96;"FE20171500NE";"FONE DE OUVIDO";"MOTOROLA/SAMSUNG/LG";6.50;15.00;"21/03/2017";"TESTE";15;130.76923076923077;8.5
